April Collections Calls List Angaza ID,April Collections Calls List Date Called Date,April Collections Calls List Reachability
AC562049,4/3/19,Not Reached
AC507356,4/11/19,Not Reached
AC492454,4/27/19,Reached
AC513312,4/9/19,Not Reached
AC528296,4/27/19,Not Reached
AC559926,4/27/19,Not Reached
AC537941,4/16/19,Not Reached
AC507102,4/9/19,Not Reached
AC547960,4/23/19,Not Reached
AC537393,4/2/19,Reached
AC519704,4/8/19,Not Reached
AC503491,4/8/19,Not Reached
AC509372,4/8/19,Reached
AC507832,4/9/19,Not Reached
AC521413,4/27/19,Reached
AC506884,4/17/19,Not Reached
AC524559,4/23/19,Not Reached
AC503086,4/3/19,Not Reached
AC556261,4/2/19,Not Reached
AC544291,4/1/19,Not Reached
AC517248,4/9/19,Not Reached
AC558434,4/1/19,Not Reached
AC548956,4/17/19,Not Reached
AC527322,4/24/19,Not Reached
AC485475,4/15/19,Not Reached
AC503025,4/4/19,Not Reached
AC553321,4/23/19,Not Reached
AC489314,4/17/19,Reached
AC518539,4/11/19,Reached
AC554884,4/17/19,Reached
AC516121,4/4/19,Not Reached
AC552755,4/2/19,Not Reached
AC522218,4/15/19,Reached
AC546337,4/4/19,Reached
AC560339,4/16/19,Not Reached
AC489678,4/16/19,Not Reached
AC506703,4/4/19,Reached
AC492728,4/10/19,Reached
AC540388,4/15/19,Not Reached
AC509345,4/8/19,Reached
AC484922,4/25/19,Reached
AC540699,4/23/19,Not Reached
