Accounts Account Status,Accounts Angaza ID,Accounts Area,Accounts Country,Accounts Date of Disablement Utc Date,Accounts Date of Latest Payment Utc Date,Accounts Date of Registration Date,Accounts Days Disabled,Accounts Days to Cutoff,Accounts Disabled (Yes / No),Accounts Minimum Payment Amount,Accounts Minimum Payment Amount USD,Accounts Price per Day,Accounts Price per Day USD,Accounts Product Name,Accounts Region,Accounts Registering User Angaza ID,Accounts Unit Age Days,Accounts Unit Proportional Age,Accounts Unlock Price,Accounts Unlock Price USD,Accounts Upfront Days Included,Accounts Upfront Price,Accounts Upfront Price USD,Accounts Zone
UNLOCKED,AC513195,Pyay,Myanmar (Burma),,5/21/18,5/21/18,,,No,0,0,0,,Home 120 Plus + Radio,Northern,US019793,486,,"271,565",173,7,"272,100",173.370319,
UNLOCKED,AC533708,Katito,Kenya,,7/7/19,6/7/18,,,No,40,0.391338377,40,0.39,Home 60,Lake Zone,US008441,469,1.7,"12,495",122,7,"1,600",15.21871467,
UNLOCKED,AC513115,Mukono,Uganda,,11/8/18,5/21/18,,,No,730,0.195045836,750,0.2,Boom,South Rift,US021615,486,1.7,"243,850",65,7,"43,900",11.70275015,West
DISABLED,AC552648,Minbu,Myanmar (Burma),9/7/19,8/27/19,6/21/18,11,-11.09,Yes,610,0.391338377,610,0.39,Home 60,Southern Highlands,US017799,455,1.6,"191,510",122,7,"23,900",15.21871467,
DISABLED,AC511078,Nyeri,Kenya,8/26/19,8/24/19,5/19/18,24,-24.02,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Rift Valley,US016958,488,1.7,"14,135",138,7,"1,900",18.5293544,East
DISABLED,AC552306,Nebbi,Uganda,9/11/19,9/10/19,6/21/18,7,-7.16,Yes,1650,0.43885313,1650,0.44,Home 60 + Radio,South Nyanza,US023127,455,1.6,"517,705",138,7,"69,500",18.5293544,West
DISABLED,AC536743,Gyobingauk,Myanmar (Burma),8/10/19,8/5/19,6/9/18,39,-39.02,Yes,310,0.195045836,310,0.2,Boom,Rift Valley,US011702,467,1.7,"102,035",65,7,"18,400",11.70275015,East
DISABLED,AC487689,Singida,Tanzania,6/28/19,6/19/19,5/3/18,83,-83.02,Yes,1000,0.434820419,990,0.43,Home 60,Lake Zone,US004523,504,2,"280,715",122,7,"35,000",15.21871467,
UNLOCKED,AC497952,Busia,Kenya,,8/30/18,5/9/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Western,US014286,498,1.8,"14,135",138,7,"1,900",18.5293544,West
DISABLED,AC526140,Machakos,Kenya,9/19/19,9/16/19,6/1/18,0,-0.02,Yes,20,0.195045836,20,0.2,Boom,Rift Valley,US003877,475,1.7,"6,655",65,7,"1,200",11.70275015,East
DISABLED,AC533455,Mukono,Uganda,4/9/19,4/7/19,6/7/18,162,-161.67,Yes,1650,0.43885313,1650,0.44,Home 60 + Radio,South Rift,US014926,469,1.7,"517,705",138,7,"69,500",18.5293544,West
UNLOCKED,AC550101,Soroti,Uganda,,5/24/19,6/20/18,,,No,1650,0.43885313,1650,0.44,Home 60 + Radio,Western,US016493,456,1.6,"517,705",138,7,"69,500",18.5293544,West
UNLOCKED,AC516851,Ukunda,Kenya,,5/4/19,5/24/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Western,US001264,483,1.7,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC544854,Babati,Tanzania,,7/26/19,6/15/18,,,No,1010,0.43885313,1010,0.44,Home 60 + Radio,Central,US006350,461,1.6,"317,530",138,7,"42,600",18.5293544,West
UNLOCKED,AC515879,Kampala,Uganda,,5/6/19,5/23/18,,,No,550,0.146284377,560,0.15,Pro,Eastern,US013996,484,1.7,"195,080",52,7,"43,900",11.70275015,East
DISABLED,AC551623,Taita Taveta,Kenya,11/15/18,11/11/18,6/21/18,308,-308.35,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Coast,US022011,455,1.6,"14,135",138,7,"1,900",18.5293544,East
UNLOCKED,AC558102,Iganga,Uganda,,5/7/19,6/26/18,,,No,730,0.195045836,750,0.2,Boom,South Rift,US014879,450,1.6,"243,850",65,7,"43,900",11.70275015,West
UNLOCKED,AC563038,Iganga,Uganda,,7/5/19,6/29/18,,,No,2200,0.585137507,2210,0.59,Home 120 Plus + Radio,South Rift,US016616,447,1.6,"694,030",185,7,"95,100",25.35595865,West
DISABLED,AC500439,Mwanza,Tanzania,9/18/19,9/16/19,5/11/18,0,-0.17,Yes,1010,0.43885313,1010,0.44,Home 60 + Radio,Central,US016101,496,1.8,"317,530",138,7,"42,600",18.5293544,West
UNLOCKED,AC543005,Matunda,Kenya,,3/27/19,6/14/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,North Rift,US016168,462,1.6,"14,135",138,7,"1,900",18.5293544,East
UNLOCKED,AC561126,Mbeya,Tanzania,,6/28/18,6/28/18,,,No,0,0,0,,Home 60 + Radio,South Nyanza,US001499,448,,"213,990",93,0,"213,200",92.64677199,West
UNLOCKED,AC501556,Singida,Tanzania,,1/19/19,5/12/18,,,No,1000,0.434820419,990,0.43,Home 60,Lake Zone,US011295,495,2,"280,715",122,7,"35,000",15.21871467,
UNLOCKED,AC556085,Kimilili,Kenya,,6/7/19,6/24/18,,,No,20,0.195045836,20,0.2,Boom,Nairobi,US017934,452,1.6,"6,655",65,7,"1,200",11.70275015,East
UNLOCKED,AC561816,Kiserian,Kenya,,6/27/19,6/28/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Nyanza,US022113,448,1.6,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC558216,Kano,Nigeria,,4/19/19,6/26/18,,,No,240,0.652230629,240,0.65,Home 120 + Radio,Northern,US006984,450,1.6,"74,360",204,14,"9,500",26.08922515,
ENABLED,AC545714,Masindi,Uganda,9/20/19,9/18/19,6/16/18,,1.65,No,2200,0.585137507,2210,0.59,Home 120 Plus + Radio,South Nyanza,US019709,460,1.6,"694,030",185,7,"95,100",25.35595865,West
UNLOCKED,AC485623,Bago,Myanmar (Burma),,7/21/19,5/2/18,,,No,690,0.43885313,690,0.44,Home 60 + Radio,Central,US020010,505,1.8,"216,625",138,7,"29,100",18.5293544,West
DISABLED,AC545965,Busia,Kenya,9/4/19,9/2/19,6/16/18,14,-14.01,Yes,40,0.43885313,50,0.44,Home 60 + Radio,Western,US022922,460,1.6,"14,135",138,7,"1,900",18.5293544,West
UNLOCKED,AC519327,Narok,Kenya,,8/26/19,5/26/18,,,No,20,0.21741021,20,0.22,Boom,Coastal,US021915,481,1.7,"6,965",68,7,900,8.696408383,
DISABLED,AC492681,Akinyele,Nigeria,8/31/19,8/26/19,5/7/18,18,-18.03,Yes,170,0.453430065,160,0.45,Home 60,Central,US021112,500,1.3,"65,975",181,7,"5,800",16.00341406,
DISABLED,AC528542,Iganga,Uganda,9/17/19,9/15/19,6/4/18,1,-1.06,Yes,1650,0.43885313,1650,0.44,Home 60 + Radio,South Rift,US020747,472,1.7,"517,705",138,7,"69,500",18.5293544,West
UNLOCKED,AC531458,Mwanza,Tanzania,,4/20/19,6/6/18,,,No,1010,0.43885313,1010,0.44,Home 60 + Radio,Central,US019174,470,1.7,"317,530",138,7,"42,600",18.5293544,West
UNLOCKED,AC565072,Matunda,Kenya,,6/30/18,6/30/18,,,No,0,0,0,,Home 60 + Radio,North Rift,US011114,446,,"9,525",93,0,"9,500",92.64677199,East
DISABLED,AC509828,Mbita,Kenya,6/14/19,6/7/19,5/18/18,96,-96.19,Yes,60,0.585137507,60,0.59,Home 120 Plus + Radio,Western,US002976,489,1.7,"18,950",185,7,"2,600",25.35595865,West
UNLOCKED,AC544748,Soroti,Uganda,,4/4/19,6/15/18,,,No,730,0.195045836,750,0.2,Boom,Western,US013775,461,1.6,"243,850",65,7,"43,900",11.70275015,West
UNLOCKED,AC565110,Pwani,Tanzania,,6/11/19,6/30/18,,,No,550,0.240051211,550,0.24,Boom,Northern,US007321,446,1.6,"174,875",76,7,"24,500",10.66894271,
UNLOCKED,AC528799,Bariadi,Tanzania,,5/4/19,6/4/18,,,No,1010,0.43885313,1010,0.44,Home 60 + Radio,North Rift,US011595,472,1.7,"317,530",138,7,"42,600",18.5293544,East
ENABLED,AC491248,Malindi,Kenya,9/21/19,9/18/19,5/6/18,,2.31,No,40,0.43885313,50,0.44,Home 60 + Radio,Nyanza,US000886,501,1.8,"14,135",138,7,"1,900",18.5293544,West
ENABLED,AC533961,Minbu,Myanmar (Burma),9/20/19,9/10/19,6/7/18,,1.82,No,1020,0.652230629,1020,0.65,Home 120 + Radio,Southern Highlands,US022470,469,1.6,"320,230",204,14,"41,000",26.08922515,
UNLOCKED,AC527152,Auchi,Nigeria,,3/4/19,6/2/18,,,No,140,0.391338377,140,0.39,Home 60,Northern,US002174,474,1.7,"44,470",122,7,"5,500",15.21871467,
ENABLED,AC529267,Kisii,Kenya,9/19/19,9/18/19,6/4/18,,1.18,No,40,0.43885313,50,0.44,Home 60 + Radio,Coast,US019607,472,1.7,"14,135",138,7,"1,900",18.5293544,East
DISABLED,AC531573,Ukunda,Kenya,9/18/19,9/17/19,6/6/18,0,-0.01,Yes,20,0.195045836,20,0.2,Boom,Western,US004922,470,1.7,"6,655",65,7,"1,200",11.70275015,West
UNLOCKED,AC507848,Bago,Myanmar (Burma),,7/2/19,5/17/18,,,No,540,0.341330213,530,0.34,Home 60 + Radio,Central,US016794,490,1.3,"224,475",143,7,"29,100",18.5293544,West
UNLOCKED,AC511331,Minbu,Myanmar (Burma),,3/19/19,5/19/18,,,No,340,0.21741021,350,0.22,Boom,Southern Highlands,US021441,488,1.7,"106,745",68,7,"13,700",8.696408383,
DISABLED,AC489103,Busia UG,Uganda,9/17/19,9/16/19,5/4/18,1,-1.01,Yes,1650,0.43885313,1650,0.44,Home 60 + Radio,North Rift,US009348,503,1.8,"517,705",138,7,"69,500",18.5293544,East
UNLOCKED,AC502891,Busia UG,Uganda,,5/14/18,5/14/18,,,No,0,0,0,,Non_EasyBuy + Stove,North Rift,US007946,493,,"142,555",38,7,"142,700",38.03393798,East
DISABLED,AC555346,Kano,Nigeria,12/15/18,12/13/18,6/23/18,277,-277.05,Yes,80,0.21741021,80,0.22,Boom,Northern,US006528,453,1.6,"24,785",68,7,"3,200",8.696408383,
DISABLED,AC489017,Singida,Tanzania,9/18/19,9/17/19,5/4/18,0,-0.04,Yes,1000,0.434820419,990,0.43,Home 60,Lake Zone,US014039,503,2,"280,715",122,7,"35,000",15.21871467,
UNLOCKED,AC562547,Siaya,Kenya,,6/10/19,6/28/18,,,No,40,0.43885313,50,0.44,Home 60 + Radio,Eastern,US023527,448,1.6,"14,135",138,7,"1,900",18.5293544,East
